classes,orig_question,answer,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
globe:register,What kind of services does Mona provide?,"I'm Gie, your personal account specialist! I'm here to help you with your Globe Postpaid plan. :)",What kind of services does Gie provide?,What is this Gie service?,Who is Gie?,who are you?,what is Gie,,,,,,,,,,,,,,,
globe:register,Are Mona services for free ?,"Yes, this is free! Note though that if you are using mobile data, standard charges will apply.",Are Gie services for free ?,Do you charge for this?,is this for free?,is it free?,will this service cost me money ?,will I be charged for using gie service?,,,,,,,,,,,,,,
globe:register,Ask if talk to human or bot,I am a technology supported by real people. :),Are you a bot ?,is this a robot?,are you a chatbot?,are you a real person?,is this a real person?,are you a computer?,,,,,,,,,,,,,,
globe:register,When will Mona be available to all subscribers ?,"I'm available to help selected customers only at the moment, but be assured I'll let you know once it is available for everyone. :)",When will Gie be available to all subscribers ?,when will the service open to all ?,,,,,,,,,,,,,,,,,,
globe:register,What are the business hours for Mona service?,"I'm here to chat every day from 9:00 AM to 5:30 PM. But if you send me a message outside of this time, I'll make sure to get back to you the next day.",What are the business hours for Gie service?,Are you always available?,is this service provided 24x7?,,,,,,,,,,,,,,,,,
globe:register,Does Mona service requires authentication?,"For your security, I need vertification for certain transactions such as requests for plan modifications.",Does Gie service requires authentication?,Does Gie service requires owner ID?,Does Gie service requires owner identification?,,,,,,,,,,,,,,,,,
globe:register,know how Mona works,You can send me a message here on Facebook Messenger for your Globe-related concerns!,know how Gie works,,,,,,,,,,,,,,,,,,,
globe:register:get_phone,know if Mona available only for KitConn postpaid subscribers,"I'm available to help selected customers only at the moment, but be assured I'll let you know once it is available for everyone. :)",know if Gie available only for Globe postpaid subscribers,I don't have a Globe postpaid number,I only have prepaid,"i'm, not a globe subscriber",can i register a prepaid number,Is this mandatory?,,,,,,,,,,,,,,
globe:register:get_phone,register another subscriber for Mona services,You can ask them to send a message to Gie of Globe on Facebook Messenger. :),register another subscriber for Gie services,Can I give my wife's phone as well ?,Can i register more than 1 number?,,,,,,,,,,,,,,,,,
globe:register:get_phone,know why,I need your mobile number to help you with your Globe Postpaid plan. :),know why is this needed,Why do you ask me?,Why do you need my phone number?,why do I need to?,Is there another way to register?,Is there another detail i can give you for authentication?,Can I give you other details?,,,,,,,,,,,,,
globe:register:get_phone,know which one of my phone numbers you need,Can you please provide the primary mobile number you are using?,know which one of my phone numbers you need,"I have several phone numbers, which one do you need?",I have a few numbers,,,,,,,,,,,,,,,,,
globe:register:get_phone,know how,Can you please send it following this format? 09XX XXX XXXX,know how to provide the number,With the prefix?,with the country code?,You need full number?,,,,,,,,,,,,,,,,
globe:register:get_phone,do you need the main account phone number?,Can you please provide the mobile number you are using?,do you need the main account phone number?,"Do you need the account owner number, or mine?",Do you mean the owner number?,,,,,,,,,,,,,,,,,
globe:register:get_phone,Ask if talk to human or bot,I am a technology supported by real people. :),,,,,,,,,,,,,,,,,,,,
"globe:register:approve_full_name,globe:register:get_full_name",Is it ok to have the nickname registered?,"For registration purposes, I would need your full name. :)",Is it ok to have the nickname registered?,is it ok to register with my stage name?,,,,,,,,,,,,,,,,,,
"globe:register:approve_full_name,globe:register:get_full_name",know why,Your full name is required to identify you and complete registration. :),Why do you need this?,,,,,,,,,,,,,,,,,,,
"globe:register:approve_full_name,globe:register:get_full_name",Can I give you other details?,Your full name is required to identify you and complete registration. :),Can I give you other details?,,,,,,,,,,,,,,,,,,,
"globe:register:approve_full_name,globe:register:get_full_name",Should I also give my middle name?,"You may, but it is not mandatory.",Should I also give my middle name?,,,,,,,,,,,,,,,,,,,
"globe:register:approve_full_name,globe:register:get_full_name",Should the name match my KitConn account?,Please provide your name as registered in your ID.,Should the name match my Globe account?,,,,,,,,,,,,,,,,,,,
"globe:register:approve_full_name,globe:register:get_full_name",Ask if talk to human or bot,I am a technology supported by real people. :),Do you need account owner name?,,,,,,,,,,,,,,,,,,,
"globe:register:approve_full_name,globe:register:get_full_name",Can I change it later?,"Once registration has been approved, you may request to change the details.",Can I change it later?,,,,,,,,,,,,,,,,,,,
globe:register:approve_account_under_name,know why,It will help me check your details to complete the registration. :),Why do you need this?,,,,,,,,,,,,,,,,,,,
globe:register:approve_account_under_name,Does it matter?,It will help me check your details to complete the registration. The account doesn't have to be under your name. :),Does it matter?,,,,,,,,,,,,,,,,,,,
globe:register:approve_account_under_name,Is it ok if it's an account of a relative?,The account doesn't have to be under your name. I'll just check the details you sent and let you know once registration has been approved. :),Is it ok if it's an account of a relative?,,,,,,,,,,,,,,,,,,,
globe:register:approve_account_under_name,Ask if talk to human or bot,I am a technology supported by real people. :),,,,,,,,,,,,,,,,,,,,
globe:register:approve_form,Can I change it later?,"Once registration has been approved, you may request to change the details.",Can I change it later?,,,,,,,,,,,,,,,,,,,
globe:register:select_change,Can I change more than one of the details?,"You may request to change any of the details, one at a time.",Can I change more than one of the details?,,,,,,,,,,,,,,,,,,,
globe:register:select_change,Will this reset my details?,"No, I will only change the details you requested, one at a time.",Will this reset my details?,,,,,,,,,,,,,,,,,,,
globe:register:select_change,Ask if talk to human or bot,I am a technology supported by real people. :),,,,,,,,,,,,,,,,,,,,
